ID;Name Deutsch;Name Latein;Pflanzenfamilie;Jan;Feb;Mar;Apr;Mai;Jun;Jul;Aug;Sep;Okt;Nov;Dez;Wuchsform;rot;orange;gelb;grün;blau;violett;rosa;weiss;Funddatum;Notizen
97;Knolliger Hahnenfuss;Ranunculus bulbosus L.;Ranunculaceae;0;0;0;0;1;1;1;0;0;0;0;0;Staude;0;0;1;0;0;0;0;0;06.04.2026;
98;Gänseblümchen;Bellis perennis L.;Asteraceae;0;1;1;1;1;1;1;1;1;1;1;0;Staude;0;0;1;0;0;0;0;1;06.04.2026;
99;Damen-Tulpe;Tulipa clusiana DC.;Liliaceae;0;0;0;1;1;0;0;0;0;0;0;0;Staude;1;0;0;0;0;0;0;1;11.04.2026;
100;Knoblauchhederich;Alliaria petiolata;Brassicaceae;0;0;0;1;1;1;0;0;0;0;0;0;Zweijähriges Kraut;0;0;0;0;0;0;0;1;11.04.2026;
101;Kriechender Günsel;Ajuga reptans L.;Lamiaceae;0;0;0;1;1;1;1;0;0;0;0;0;Staude;0;0;0;0;1;0;0;0;25.04.2026;
102;Leichtlin-Prärielilie;Camassia leichtlinii;Asparagaceae;0;0;0;0;1;1;0;0;0;0;0;0;Staude;0;0;0;0;0;1;0;0;25.04.2026;
103;Futter-Wicke;Vicia sativa L.;Fabaceae;0;0;0;0;1;1;1;1;1;1;0;0;Einjähriges Kraut;0;0;0;0;0;1;1;0;25.04.2026;
104;Reichstachelige Rose;Rosa spinosissima L.;Rosaceae;0;0;0;0;1;0;0;0;0;0;0;0;Strauch;0;0;1;0;0;0;0;1;25.04.2026;
105;Wiesen-Margerite;Leucanthemum vulgare;Asteraceae;0;0;0;0;1;1;1;1;1;1;1;0;Staude;0;0;1;0;0;0;0;1;25.04.2026;
106;Wolliger Schneeball;Viburnum lantana L.;Adoxaceae;0;0;0;0;1;0;0;0;0;0;0;0;Strauch;0;0;0;0;0;0;0;1;25.04.2026;
107;Pyrenäen-Storchschnabel;Geranium pyrenaicum Burm. f.;Geraniaceae;0;0;0;0;1;1;1;1;0;0;0;0;Strauch;0;0;0;0;0;1;0;0;02.05.2026;
108;Sibirische Schwertlilie;Iris sibirica L.;Iridaceae;0;0;0;0;0;1;0;0;0;0;0;0;Strauch;0;0;0;0;0;1;0;0;02.05.2026;
